"Run 1: Time (min)","Run 1: Temperature (°C)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
0.0,21.2,21.1,21.1
0.1,21.3,21.1,21.1
0.2,21.3,21.1,21.1
0.3,21.3,21.1,21.1
0.4,73.7,50.7,21.1
0.5,75.3,65.5,63.0
0.6,71.9,64.1,70.9
0.7,69.5,61.6,69.3
0.8,67.9,59.9,68.1
0.9,67.0,59.0,66.8
1.0,66.3,58.1,66.0
1.1,65.6,57.5,65.5
1.2,65.2,57.0,65.0
1.3,64.8,56.5,64.6
1.4,64.5,56.2,64.2
1.5,64.2,55.9,64.0
1.6,64.0,55.6,63.7
1.7,63.8,55.4,63.5
1.8,63.6,55.2,63.3
1.9,63.4,55.1,63.1
2.0,63.2,54.9,62.8
2.1,63.1,54.7,62.7
2.2,62.9,54.6,62.5
2.3,62.8,54.5,62.3
2.4,62.7,54.3,62.1
2.5,62.5,54.2,62.0
2.6,62.4,54.1,61.9
2.7,62.3,54.0,61.7
2.8,62.2,53.9,61.5
2.9,62.1,53.8,61.4
3.0,62.0,53.8,61.3
3.1,62.0,53.7,61.2
3.2,61.8,53.6,60.9
3.3,61.7,53.5,60.9
3.4,61.6,53.4,60.7
3.5,61.5,53.4,60.7
3.6,61.4,53.3,60.6
3.7,61.3,53.3,60.4
3.8,61.2,53.1,60.3
3.9,61.2,53.1,60.2
4.0,61.0,53.1,60.1
4.1,61.0,52.9,60.1
4.2,60.8,52.9,59.9
4.3,60.7,52.9,59.8
4.4,60.6,52.8,59.7
4.5,60.5,52.8,59.6
4.6,60.5,52.7,59.4
4.7,60.4,52.6,59.4
4.8,60.3,52.6,59.3
4.9,60.3,52.6,59.2
5.0,60.1,52.4,59.0
5.1,60.1,52.4,58.9
5.2,60.0,52.4,58.8
5.3,59.9,52.3,58.7
5.4,59.8,52.2,58.6
5.5,59.7,52.2,58.5
5.6,59.6,52.2,58.4
5.7,59.5,52.1,58.3
5.8,59.5,52.1,58.2
5.9,59.4,52.0,58.1
6.0,59.2,51.9,58.0
6.1,59.2,51.9,57.9
6.2,59.1,51.8,57.8
6.3,59.0,51.8,57.7
6.4,58.9,51.7,57.6
6.5,58.8,51.7,57.6
6.6,58.7,51.6,57.4
6.7,58.6,51.5,57.3
6.8,58.6,51.5,57.2
6.9,58.3,51.5,57.2
7.0,58.3,51.4,57.1
7.1,58.3,51.3,56.9
7.2,58.1,51.3,56.9
7.3,58.0,51.3,56.8
7.4,58.0,51.2,56.7
7.5,57.9,51.2,56.6
7.6,57.8,51.1,56.5
7.7,57.7,51.1,56.4
7.8,57.6,51.0,56.3
7.9,57.6,50.9,56.2
8.0,57.4,50.8,56.1
8.1,57.3,50.8,56.0
8.2,57.3,50.8,55.9
8.3,57.2,50.7,55.8
8.4,57.1,50.6,55.7
8.5,57.1,50.6,55.6
8.6,57.0,50.5,55.5
8.7,56.8,50.5,55.5
8.8,56.7,50.4,55.4
8.9,56.7,50.4,55.2
9.0,56.6,50.3,55.2
9.1,56.4,50.2,55.1
9.2,56.4,50.2,55.0
9.3,56.3,50.2,54.9
9.4,56.2,50.1,54.9
9.5,56.1,50.1,54.8
9.6,56.0,50.0,54.7
9.7,55.9,49.9,54.6
9.8,55.8,49.8,54.5
9.9,55.8,49.8,54.4
10.0,55.6,49.7,54.3
10.1,55.6,49.7,54.2
10.2,55.4,49.7,54.2
10.3,55.4,49.6,54.0
10.4,55.3,49.5,54.0
10.5,55.2,49.5,53.9
10.6,55.1,49.5,53.8
10.7,55.0,49.4,53.7
10.8,54.9,49.3,53.6
10.9,54.8,49.3,53.6
11.0,54.7,49.2,53.5
11.1,54.7,49.1,53.3
11.2,54.6,49.1,53.3
11.3,54.5,49.0,53.2
11.4,54.4,49.0,53.1
11.5,54.3,48.9,53.1
11.6,54.3,48.9,53.0
11.7,54.2,48.8,52.9
11.8,54.0,48.7,52.8
11.9,54.0,48.7,52.7
12.0,53.9,48.7,52.6
12.1,53.8,48.6,52.6
12.2,53.7,48.5,52.5
12.3,53.7,48.5,52.4
12.4,53.5,48.4,52.4
12.5,53.4,48.4,52.3
12.6,53.4,48.3,52.1
12.7,53.3,48.2,52.1
12.8,53.2,48.2,52.0
12.9,53.2,48.1,51.9
13.0,53.2,48.1,51.9
13.1,53.0,48.0,51.9
13.2,52.9,48.0,51.7
13.3,52.8,47.9,51.6
13.4,52.7,47.9,51.6
13.5,52.7,47.8,51.5
13.6,52.5,47.7,51.5
13.7,52.5,47.7,51.3
13.8,52.4,47.7,51.3
13.9,52.3,47.6,51.2
14.0,52.2,47.5,51.2
14.1,52.1,47.5,51.0
14.2,52.0,47.4,50.9
14.3,51.9,47.4,50.8
14.4,51.9,47.4,50.7
14.5,51.7,47.3,50.7
14.6,51.7,47.2,50.6
14.7,51.7,47.1,50.5
14.8,51.5,47.1,50.5
14.9,51.6,47.1,50.4
15.0,51.5,47.0,50.3
15.1,51.3,46.9,50.3
15.2,51.2,46.9,50.1
15.3,51.2,46.8,50.1
15.4,51.0,46.8,50.0
15.5,51.0,46.7,50.0
15.6,50.9,46.7,49.9
15.7,50.8,46.6,49.9
15.8,50.7,46.6,49.7
15.9,50.7,46.5,49.6
16.0,50.6,46.4,49.6
16.1,50.5,46.4,49.4
16.2,50.4,46.3,49.4
16.3,50.3,46.3,49.3
16.4,50.3,46.2,49.2
16.5,50.2,46.2,49.2
16.6,50.1,46.1,49.1
16.7,50.0,46.0,49.1
16.8,49.9,46.0,49.0
16.9,49.9,46.0,49.0
17.0,49.8,45.9,48.9
17.1,49.8,45.8,48.8
17.2,49.7,45.8,48.7
17.3,49.6,45.7,48.6
17.4,49.6,45.7,48.5
17.5,49.5,45.6,48.5
17.6,49.4,45.6,48.4
17.7,49.4,45.5,48.4
17.8,49.2,45.5,48.3
17.9,49.1,45.4,48.2
18.0,49.1,45.3,48.1
18.1,49.1,45.3,48.1
18.2,49.0,45.3,48.0
18.3,48.9,45.2,47.9
18.4,48.8,45.2,47.9
18.5,48.7,45.1,47.8
18.6,48.6,45.0,47.8
18.7,48.6,45.0,47.7
18.8,48.4,44.9,47.6
18.9,48.4,44.9,47.5
19.0,48.3,44.8,47.5
19.1,48.3,44.8,47.4
19.2,48.2,44.7,47.3
19.3,48.1,44.7,47.2
19.4,48.1,44.6,47.2
19.5,48.0,44.6,47.1
19.6,47.9,44.5,47.1
19.7,47.8,44.5,47.0
19.8,47.7,44.4,47.0
19.9,47.7,44.4,46.9
20.0,47.6,44.3,46.8
20.1,47.6,44.3,46.8
20.2,47.5,44.2,46.7
20.3,47.5,44.2,46.6
20.4,47.4,44.1,46.6
20.5,47.3,44.1,46.6
20.6,47.3,44.0,46.5
20.7,47.2,44.0,46.4
20.8,47.1,44.0,46.4
20.9,47.0,43.9,46.2
21.0,47.0,43.8,46.2
21.1,46.9,43.8,46.1
